,user,tweet,location,keyword
108,PSG Wealth,"The US, France and Russia reported a record number of COVID-19 infections, fuelling investor fears about the already battered global economy. Read what else happened in the markets: https://t.co/d3UqTwH3v9 https://t.co/8cn9AsUmjC","Waterfall City, Midrand, RSA",covid19
109,News24,"South Africa has recorded a further 58 Covid-19-related deaths and 1 863 new cases since the health minister's last report. | @BraGrobbies 

https://t.co/3QmDfAA0CK",South Africa,covid19
110,Bankai Group,Cloud services have come under the spotlight during COVID-19 for their exceptional functionality and ensuring business continuity. Here are a few reasons that make cloud services apt for organizations dealing with the repercussions of the global pandemic: https://t.co/5tmneWV6fr,"New York, USA",covid19
111,Helene Nichele,"I am not spending like I used to, but when I do, I’m intentionally spending my dollars with local businesses and service providers. We must invest in our local businesses. #COVID19 #ShopLocal",San Francisco Bay Area,covid19
112,Nonso Richard #EndSars,The fact that we are all silent about the fact that the Lagos State government has been arresting innocent people walking on the road and parading them as Covid-19 palliatives looters is sickening #Endsars,Earth,covid19
113,Megan Davies,"For more information: 
https://t.co/x2MrA3Ai6n

https://t.co/HlY6JsUDLm",Cardiff / Mentally in France ,covid19
114,Skylineowl,"@SkyNews What's with these fancy dan masks, almost celebrating the fact of #COVID19  #dowithoutit #utterclaptrap",worldwide,covid19
115,paulchow,"@9GAG “Fuck China for creating covid-19, now I am suffocated by mask.”",,covid19
116,Ukhrul Times,Central team arrives to assess Manipur COVID-19 situation https://t.co/szhEkPVHfV,,covid19
117,theoaksrox1,"UK: As daily China Covid deaths hit 300, 10% of England's population could be tested for Covid-19 every week using £15 saliva tests made by Innova

 | World news | The Guardian https://t.co/KAhiZhYJvI",,covid19
118,William,#COVID19 #Canada has got it under control! #TrumpLiesPeopleDie #VOTE #BidenHarrisToSaveAmerica https://t.co/GUsFofOh6t,America,covid19
119,sarah🧡🎃🍂,@timidtradcat did u know that trump's treatment for his covid-19 at the beginning of the month came from stem cells derived from aborted fetuses? 😁👍 drink it in luv,15♡est,covid19
120,FNH BigDog,"@cathial1 @FrankAmari2 @realDonaldTrump @SenateGOP @HouseGOP Finally! A serious Explanation of Trump’s 
COVID19 Face Mask Aversion!  Why Wasn’t
This Known Sooner?!  It Makes Perfect Sense!
https://t.co/7g55uDZVmi",,covid19
121,Kay Ydill,"Thread by @Laurie_Garrett: I've said it before, but it bears repeating. There is one place in the world where a map of #COVID19 cases  https://t.co/f1Ta5gQqqi",cyberspace,covid19
122,NPOReports🇳🇬,COVID-19: NCDC Confirms 147 New Cases https://t.co/xhwi099dPG,Nigeria,covid19
123,Alison M Thomas 🐾🐾,"@DrJamesKent3 In my opinion it's we, the British people, who have to change. People's blatant disregard to the restrictions is despicable. If bombs were dropping would they protest the restrictions? Covid19 is an invisible enemy. I wonder how many of the protestors have lost someone to it?",North Wales,covid19
