,user,tweet,location,keyword
155,Late October - Halloween HYPE 🎃👻💀😈,@BornFromLucifer 🌜You seem to be an arsonist today.,UK,arsonist
156,arsonist(a) 🦴,"@orradiachooo as long it's a secret, okay?","Черногорск, Россия",arsonist
157,Dick Kicker,Did you hear about the grape arsonist?,Scotland,arsonist
158,Schnappatmung Gerd,@JoeBiden She looks like an arsonist,,arsonist
159,🗽🇺🇸 Cowdog 🇺🇸🗽,"Democrats Mail Voter Fraud

Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/hJknZ2pahi",,arsonist
160,lgstarr,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/dbG3IapMUf,Arizona,arsonist
161,lgstarr,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/dbG3Ia8c2H,Arizona,arsonist
162,Teresa elwell,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/hjzYvCSUFj,"Kingsport, TN",arsonist
163,USA4TRUMP,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/dcrUNxxeg4,"California, USA",arsonist
164,TC Henson,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/sjgTA9iocX,"Bonham, Tx",arsonist
165,berry / glowsquid ! ! ᓚᘏᗢ in a gang apparently,@HEROOFQUAHOG @ARSONlST_ the duality : peter griffin and arsonist,★ da combo pizza hut+taco bell,arsonist
166,Alex Larson,You can not be the firefighter when you are the arsonist.,,arsonist
