,user,tweet,location,keyword
141,Kail,@MobilePunch There is fire and the mountain and these fuckers don't know when to run.,everywhere and nowhere.,fire
142,Raider Nation,Big Tech giants under fire from lawmakers on censoring spread of The Post’s Hunter Biden exposé #Smoking-gun email reveals how Hunter Biden introduced Ukrainian businessman to VP dad https://t.co/wd5wbEYeiU,,fire
143,Shivi Awasthi | Serve justice to our brother|,"#NationWithFearlessArnab            The whole Bollywood industry is fire on #Arnab Sir .. because #Arnab Sir has repeatedly exposed their misdeeds in front of everyone...

@republic",,fire
144,Shadow Prove 18+ only,Day 27: my passimian berry with spikes fire and a vibrating buttplug in her pumpkin https://t.co/wTHGjfvOvf,Vestal,fire
145,adew @ monstrum nox,@Nintendeal I’m not one for horse hack and slashes but this is more of a unique take. All I played before was fire emblem warriors and dynasty warriors 8.,,fire
146,Daddy B.,"@femi_golden That one was still a bit sensible, neymar left late and sort of a panic buy but he just had a fire season and he’s young",,fire
147,𝑳𝒂𝒄𝒉𝒍𝒂𝒊𝒏𝒏. (Fake/Parody),"@LunaCanisLupus + felt... itchy. Anxious. Incredibly so.

Bending down, he untied his good boots, not wanting them to be ruined at all. He set them aside and stared at the warm fire in the hearth for a moment, something building inside of him that he couldn't quite explain. 

This was going +",ᶜᵒᵃᶜʰᶤᶰᵍ ˢˡʸᵗʰᵉʳᶤᶰ ᵠᵘᶤᵈᵈᶤᵗᶜʰˑ,fire
148,Niels Gittisarn,@BernieSanders Bernie you are stoking a fire in something you know nothing about. You are the one causing the racial tension in this country. You need to be more responsible with your words.,,fire
149,Aisha,@PasruriShafiq No difference but scale and style of APS  incident was too dangerous and still unbearable.  Straight fire on faces and heads of living children in school.  Madrasa incident is unbearable too. Kids are ours in both cases.,"Lahore, Pakistan",fire
150,J a c k y G r a n a d o s,"You've got a fire in your eyes
I've never seen before
Something burning off inside
And I would like to explore.","Gdl, Jal. MX",fire
151,🍒~N✿eɱy~🍒,"@min_sugaseok @BTS_twt Chicken noodle soup 
Fire 
I'm voting for BTS for Favorite Social 
Artist at the #AMAs @BTS_twt",,fire
152,Love Metal,"On October 29th 1995, Swedish power metal band Nocturnal Rites released debut album, In a Time of Blood and Fire
https://t.co/9E4u9pF8SL prin @YouTube",România,fire
153,Hot Nike,"Launching tomorrow. Who's already prepared to pay resell? 
Color: Sail/Fire Red/Muslin/Black
Mens: $225
Style Code: DH8565-100
https://t.co/lJS6YYXLHv https://t.co/8dUKPKv0HH",,fire
154,ciz🛸,@ClicksFN @AstroWorldAW this is fire,tide zen,fire
155,clinton ogwambo,"@Fred08oficial Fred,you are doing an incredible job at our club,just need to work more on your shooting and forward final third half of thde pitch,,but all the same you are on fire bro,,keep up the spirit",TUDOR,fire
156,Suz,@TheRightMelissa @Variscite15 Biden and his followers care about our fellow Americans and are socially distancing. He’s about to rock your world! 🇺🇸🇺🇸🇺🇸 Back to a United America and peaceful days without our hair constantly on fire! ❤️🤍💙,"Orlando, FL",fire
157,emely ♥,reminds me when people at my school made a petition to fire our biology teacher 😭 https://t.co/Sg59fOEdsg,,fire
158,Eric T.,"""FIRE ROCKET!"" 

NO! https://t.co/ukGSfcUYTj",PST,fire
159,The Natomas Buzz,SacFire responding to report of a commercial fire at Chevy’s on the levee in Natomas. https://t.co/pXTKNcaY3P,"Sacramento, CA",fire
160,Evie Warner 🎬🎦🚺,@FordFischer Could be an electrical fire,"Dayton, OH",fire
161,ERT,@rookieook Tbh I hate nearly every fire starter line but the Chimchar line passes the vibe check. Just no throwing shit everywhere https://t.co/QhnbETyAHS,,fire
